COMMAND,MAJOR,MINOR,GROUP
PERF_RES_CPUFREQ_MIN_CLUSTER_0,1,0,0
PERF_RES_CPUFREQ_MIN_CLUSTER_1,1,0,1
PERF_RES_CPUFREQ_MIN_CLUSTER_2,1,0,2
PERF_RES_CPUFREQ_MAX_CLUSTER_0,1,1,0
PERF_RES_CPUFREQ_MAX_CLUSTER_1,1,1,1
PERF_RES_CPUFREQ_MAX_CLUSTER_2,1,1,2
PERF_RES_CPUFREQ_MIN_HL_CLUSTER_0,1,2,0
PERF_RES_CPUFREQ_MIN_HL_CLUSTER_1,1,2,1
PERF_RES_CPUFREQ_MIN_HL_CLUSTER_2,1,2,2
PERF_RES_CPUFREQ_MAX_HL_CLUSTER_0,1,3,0
PERF_RES_CPUFREQ_MAX_HL_CLUSTER_1,1,3,1
PERF_RES_CPUFREQ_MAX_HL_CLUSTER_2,1,3,2
PERF_RES_CPUFREQ_CCI_FREQ,1,4,0
PERF_RES_CPUFREQ_PERF_MODE,1,5,0
PERF_RES_CPUCORE_MIN_CLUSTER_0,2,0,0
PERF_RES_CPUCORE_MIN_CLUSTER_1,2,0,1
PERF_RES_CPUCORE_MIN_CLUSTER_2,2,0,2
PERF_RES_CPUCORE_MAX_CLUSTER_0,2,1,0
PERF_RES_CPUCORE_MAX_CLUSTER_1,2,1,1
PERF_RES_CPUCORE_MAX_CLUSTER_2,2,1,2
PERF_RES_CPUCORE_PERF_MODE,2,2,0
PERF_RES_CPUCORE_FORCE_PAUSE_CPU,2,3,0
PERF_RES_CPUCORE_ONLINE_CPU_0,2,4,0
PERF_RES_CPUCORE_ONLINE_CPU_1,2,4,1
PERF_RES_CPUCORE_ONLINE_CPU_2,2,4,2
PERF_RES_CPUCORE_ONLINE_CPU_3,2,4,3
PERF_RES_CPUCORE_ONLINE_CPU_4,2,4,4
PERF_RES_CPUCORE_ONLINE_CPU_5,2,4,5
PERF_RES_CPUCORE_ONLINE_CPU_6,2,4,6
PERF_RES_CPUCORE_ONLINE_CPU_7,2,4,7
PERF_RES_GPU_FREQ_MIN,3,0,0
PERF_RES_GPU_FREQ_MIN_HL,3,0,1
PERF_RES_GPU_FREQ_MAX,3,1,0
PERF_RES_GPU_FREQ_MAX_HL,3,1,1
PERF_RES_GPU_FREQ_LOW_LATENCY,3,2,0
PERF_RES_GPU_GED_BENCHMARK_ON,3,3,0
PERF_RES_GPU_GED_MARGIN_MODE,3,3,1
PERF_RES_GPU_GED_TIMER_BASE_DVFS_MARGIN,3,3,2
PERF_RES_GPU_GED_LOADING_BASE_DVFS_STEP,3,3,3
PERF_RES_GPU_GED_CWAITG,3,3,4
PERF_RES_GPU_GED_GX_BOOST,3,3,5
PERF_RES_GPU_GED_DVFS_LOADING_MODE,3,3,6
PERF_RES_GPU_GED_DVFS_WORKLOAD_MODE,3,3,7
PERF_RES_GPU_POWER_POLICY,3,4,0
PERF_RES_GPU_POWER_ONOFF_INTERVAL,3,4,1
PERF_RES_GPU_ACP_HINT,3,5,0
PERF_RES_GPU_BW_MODE_HINT,3,6,0
PERF_RES_GPU_DCS_POLICY,3,7,0
PERF_RES_GPU_FW_IDLE,3,8,0
PERF_RES_GPU_BLOCK_API_BOOST,3,9,0
PERF_RES_GPU_GED_LOADING_BASE_WINDOW_SIZE,3,10,1
PERF_RES_GPU_GED_LOADING_BASE_STRIDE_SIZE,3,10,2
PERF_RES_GPU_GED_FALLBACK_TIMING,3,11,1
PERF_RES_GPU_GED_FALLBACK_INTERVAL,3,11,2
PERF_RES_GPU_GED_FALLBACK_WINDOW_SIZE,3,11,3
PERF_RES_GPU_GED_FALLBACK_FREQUENCY_ADJUST,3,11,4
PERF_RES_GPU_GED_FRAME_BASE_THRESHOLD,3,12,1
PERF_RES_GPU_RECLAIM_POLICY,3,13,0
PERF_RES_DRAM_OPP_MIN,4,0,0
PERF_RES_DRAM_OPP_MIN_LP5,4,0,1
PERF_RES_DRAM_OPP_MIN_LP5_HFR,4,0,2
PERF_RES_DRAM_VCORE_MIN,4,1,0
PERF_RES_DRAM_VCORE_MIN_LP3,4,1,1
PERF_RES_DRAM_VCORE_BW_ENABLE,4,2,0
PERF_RES_DRAM_VCORE_BW_THRES,4,2,1
PERF_RES_DRAM_VCORE_BW_THRESH_LP3,4,2,2
PERF_RES_DRAM_VCORE_POLICY,4,3,0
PERF_RES_DRAM_CM_MGR,4,4,0
PERF_RES_DRAM_CM_MGR_AGGRESSIVE,4,4,3
PERF_RES_DRAM_CM_MGR_CAM_ENABLE,4,4,1
PERF_RES_DRAM_CM_MGR_MAP_DRAM_ENABLE,4,4,2
PERF_RES_DRAM_CM_MGR_CM_HINT_MASK,4,4,4
